20, 165
27, 178
27, 198
27, 218
27, 238
47, 248
67, 238
71, 222
71, 202
71, 182
71, 162
71, 142
71, 122
64, 109
45, 108
33, 100
27, 86
27, 66
44, 63
64, 63
84, 63
104, 63
124, 63
137, 56
155, 54
165, 44
185, 34
205, 44
209, 60
209, 80
209, 100
209, 120
196, 127
176, 127
156, 127
137, 128
125, 136
123, 146
137, 152
154, 155
174, 155
194, 155
209, 160
209, 180
209, 200
209, 220
197, 228
177, 228
165, 236
165, 256
154, 265
143, 264
123, 274
119, 290
119, 310
101, 312
81, 312
61, 312
45, 316
30, 321
34, 331
45, 340
65, 340
85, 340
105, 340
125, 340
145, 340
165, 340
185, 340
205, 340
225, 340
236, 341
255, 330
255, 310
258, 293
278, 293
298, 293
318, 293
329, 294
347, 282
347, 262
347, 242
347, 222
347, 202
337, 192
317, 192
303, 186
303, 166
294, 155
283, 156
263, 146
257, 132
257, 112
257, 92
257, 72
268, 63
279, 64
299, 54
301, 36
310, 25
330, 25
350, 25
