1.1, 9.11
1.49, 9.83
1.49, 10.93
1.49, 12.03
1.49, 13.14
2.59, 13.69
3.7, 13.14
3.92, 12.25
3.92, 11.15
3.92, 10.05
3.92, 8.94
3.92, 7.84
3.92, 6.73
3.53, 6.02
2.48, 5.96
1.82, 5.52
1.49, 4.75
1.49, 3.64
2.43, 3.48
3.53, 3.48
4.64, 3.48
5.74, 3.48
6.84, 3.48
7.56, 3.09
8.56, 2.98
9.11, 2.43
10.21, 1.88
11.32, 2.43
11.54, 3.31
11.54, 4.42
11.54, 5.52
11.54, 6.62
10.82, 7.01
9.72, 7.01
8.61, 7.01
7.56, 7.07
6.9, 7.51
6.79, 8.06
7.56, 8.39
8.5, 8.56
9.6, 8.56
10.71, 8.56
11.54, 8.83
11.54, 9.94
11.54, 11.04
11.54, 12.14
10.87, 12.03
9.77, 12.03
9.11, 13.03
9.11, 14.13
8.5, 14.63
7.89, 14.57
6.79, 15.12
6.57, 16.01
6.57, 17.11
5.58, 17.22
4.47, 17.22
3.37, 17.22
2.48, 17.44
1.66, 17.72
1.88, 18.27
2.48, 18.77
3.59, 18.77
4.69, 18.77
5.8, 18.77
6.9, 18.77
8.0, 18.77
9.11, 18.77
10.21, 18.77
11.32, 18.77
12.42, 18.77
13.03, 18.82
14.08, 18.22
14.08, 17.11
14.24, 16.17
15.35, 16.17
16.45, 16.17
17.55, 16.17
18.16, 16.23
19.15, 15.57
19.15, 14.46
19.15, 13.36
19.15, 12.25
19.15, 11.15
18.6, 11.15
17.5, 11.15
16.73, 10.27
16.73, 9.16
16.23, 8.56
15.62, 8.61
14.52, 8.06
14.19, 7.29
14.19, 6.18
14.19, 5.08
14.19, 3.97
14.79, 3.48
15.4, 3.53
16.5, 2.98
16.62, 1.99
17.11, 1.38
18.22, 1.38
19.32, 1.38
