20, 165
27, 188
27, 218
37, 238
67, 238
71, 212
71, 182
71, 152
71, 122
54, 109
33, 100
27, 76
44, 63
74, 63
104, 63
134, 63
155, 54
175, 44
205, 44
209, 70
209, 100
206, 127
176, 127
146, 127
125, 136
133, 146
154, 155
184, 155
209, 160
209, 190
209, 220
187, 228
165, 236
164, 265
143, 274
119, 280
119, 310
91, 312
61, 312
39, 320
34, 331
55, 340
85, 340
115, 340
145, 340
175, 340
205, 340
229, 334
255, 330
255, 300
278, 293
308, 293
329, 284
347, 272
347, 242
347, 212
337, 192
307, 192
303, 166
284, 155
263, 146
257, 122
257, 92
258, 63
279, 54
301, 46
310, 25
340, 25
